0,Sky,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
1,Ground,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BrickBlock,1,0,0,0,0,92,148,252,1,Star,QuestionBlockHit,0,0,0,0,,,,,,,,,,
4,BrickBlock,1,1,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
5,BrickBlock,1,0,0,0,0,92,148,252,1,CoinGet,QuestionBlockHit,0,0,0,0,,,,,,,,,,
6,SolidBlock,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
7,Flagpole,0,0,0,1,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
8,FlagpoleTop,0,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
9,Black,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
10,Hill1,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
11,Hill2,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
12,Hill3,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
13,Hill4,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
14,Hill5,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
15,Cloud1,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
16,Cloud2,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
17,Cloud3,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
18,Cloud4,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
19,Cloud5,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
20,Cloud6,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
21,Bush1,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
22,Bush2,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
23,Bush3,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
24,Pipe1,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
25,Pipe2,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
26,Pipe3,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
27,Pipe4,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
28,QuestionBlock,1,0,0,0,0,92,148,252,1,CoinGet,QuestionBlockHit,1,2,1,0,,,,,,,,,,
29,FlagEntity,0,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
30,Castle1,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
31,Castle2,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
32,Castle3,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
33,Castle4,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
34,Castle5,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
35,Castle6,0,0,1,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
36,Pipe12,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
37,Pipe22,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
38,PipeConnector1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
39,PipeConnector2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
40,PipeSide1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
41,PipeSide2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
42,Pipe32,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,Up 1 layer
43,Pipe42,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,Up 1 layer
44,Ground2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
45,BrickBlock2,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
46,QuestionBlock,1,0,0,0,0,92,148,252,1,Mushroom,QuestionBlockHit,1,2,1,0,,,,,,,,,,
47,QuestionBlock,1,0,0,0,0,92,148,252,1,Star,QuestionBlockHit,1,2,1,0,,,,,,,,,,
48,InvisQuestionBlock,1,0,0,0,0,92,148,252,1,OneUpShroom,QuestionBlockHit,0,0,0,0,,,,,,,,,,
49,Black,0,0,1,0,0,0,0,0,0,UnderCoin,,0,0,0,0,,,,,,,,,,
50,GoombaSpawn1,0,0,0,0,0,92,148,252,0,0,,0,0,0,1,Goomba,,,,,,,,,
51,Pipe3,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,Down 1 layer
52,Pipe4,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,Down 1 layer
53,Pipe3,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
54,Pipe4,1,0,0,0,0,92,148,252,0,0,,0,0,0,0,,,,,,,,,,
55,QuestionBlock1,1,0,0,0,0,0,0,0,1,CoinGet,QuestionBlockHit1,1,2,1,0,,,,,,,,,,
56,QuestionBlock1,1,0,0,0,0,0,0,0,1,Mushroom,QuestionBlockHit1,1,2,1,0,,,,,,,,,,
57,QuestionBlock1,1,0,0,0,0,0,0,0,1,Star,QuestionBlockHit1,1,2,1,0,,,,,,,,,,
58,SolidBlock1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
59,BrickBlock2,1,1,0,0,0,0,0,0,1,Star,QuestionBlockHit1,0,0,0,0,,,,,,,,,,
60,BrickBlock2,1,1,0,0,0,0,0,0,1,CoinGet,QuestionBlockHit1,0,0,0,0,,,,,,,,,,
61,InvisQuestionBlock,1,0,0,0,0,0,0,0,1,CoinGet,QuestionBlockHit1,0,0,0,0,,,,,,,,,,
62,BrickBlock2,1,0,0,0,0,0,0,0,1,Mushroom,QuestionBlockHit1,0,0,0,0,,,,,,,,,,
63,BrickBlock2,1,1,0,0,0,0,0,0,1,OneUpShroom,QuestionBlockHit1,0,0,0,0,,,,,,,,,,
64,Pipe3,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
65,Pipe4,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,
66,KoopaSpawn1,0,0,0,0,0,92,148,252,0,0,,0,0,0,1,KoopaTroopa,,,,,,,,,
